City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Voyvozh,RU,62.892,54.9635,271.93,91,100,3.89,overcast clouds
1,Rikitea,PF,-23.1203,-134.9692,297.3,63,60,2.44,broken clouds
2,Manado,ID,1.487,124.8455,305.58,62,40,4.12,scattered clouds
3,Goure,NE,13.9835,10.2704,302.39,25,97,3.28,overcast clouds
4,Ushuaia,AR,-54.8,-68.3,278.96,75,20,2.57,few clouds
5,Carbonia,IT,39.1672,8.5222,285.93,52,88,1.5,overcast clouds
6,Karasjok,NO,69.4719,25.5112,273.23,96,98,3.1,overcast clouds
7,Chokurdakh,RU,70.6333,147.9167,272.0,86,98,1.8,overcast clouds
8,Ust-Tsilma,RU,65.441,52.1498,272.33,83,99,4.28,overcast clouds
9,Pevek,RU,69.7008,170.3133,264.05,90,85,2.96,overcast clouds
10,Albany,US,42.6001,-73.9662,279.94,92,81,0.91,broken clouds
11,Kaitangata,NZ,-46.2817,169.8464,284.78,85,34,0.74,scattered clouds
12,Lebu,CL,-37.6167,-73.65,286.25,90,100,1.82,light rain
13,Bethel,US,41.3712,-73.414,282.4,85,75,0.0,broken clouds
14,Ndende,GA,-2.4008,11.3581,296.58,97,100,1.08,overcast clouds
15,Busselton,AU,-33.65,115.3333,290.59,44,47,6.85,scattered clouds
16,Tasiilaq,GL,65.6145,-37.6368,271.24,95,100,2.75,overcast clouds
17,Tuktoyaktuk,CA,69.4541,-133.0374,260.15,85,75,5.66,broken clouds
18,Yar-Sale,RU,66.8333,70.8333,269.03,94,100,3.09,overcast clouds
19,Port Elizabeth,ZA,-33.918,25.5701,293.32,96,0,5.66,clear sky
20,Cidreira,BR,-30.1811,-50.2056,290.78,90,4,4.32,clear sky
21,Lata,PT,40.1629,-8.3327,289.71,66,99,0.62,overcast clouds
22,Umm Lajj,SA,25.0213,37.2685,300.03,42,0,2.76,clear sky
23,Arraial Do Cabo,BR,-22.9661,-42.0278,296.4,90,99,3.85,overcast clouds
24,Atuona,PF,-9.8,-139.0333,300.7,77,16,7.96,few clouds
25,Bredasdorp,ZA,-34.5322,20.0403,289.39,59,6,4.45,clear sky
26,Upernavik,GL,72.7868,-56.1549,263.89,98,95,6.74,overcast clouds
27,Ribeira Grande,PT,38.5167,-28.7,290.25,84,33,8.49,scattered clouds
28,Poum,NC,-20.2333,164.0167,299.05,75,2,6.45,clear sky
29,Avera,US,33.194,-82.5271,288.88,95,9,3.35,clear sky
30,Hamilton,US,39.1834,-84.5333,282.03,64,0,1.54,clear sky
31,Lakes Entrance,AU,-37.8811,147.981,296.57,42,62,2.33,broken clouds
32,Mahebourg,MU,-20.4081,57.7,300.51,83,40,1.54,light rain
33,Punta Arenas,CL,-53.15,-70.9167,279.21,70,75,5.14,broken clouds
34,Mudbidri,IN,13.0833,74.9833,305.94,46,20,2.06,few clouds
35,Mayo,US,38.8876,-76.5119,286.12,81,100,2.57,overcast clouds
36,Hasaki,JP,35.7333,140.8333,295.37,49,0,5.03,clear sky
37,Cockburn Town,TC,21.4612,-71.1419,298.64,76,56,4.26,broken clouds
38,Porto Novo,BJ,6.4965,2.6036,298.87,86,100,0.89,overcast clouds
39,Deputatskiy,RU,69.3,139.9,271.27,79,43,0.64,scattered clouds
40,Saldanha,ZA,-33.0117,17.9442,287.18,85,36,5.33,light rain
41,Antigonish,CA,45.6169,-61.9986,274.16,95,100,1.05,overcast clouds
42,Butaritari,KI,3.0707,172.7902,301.44,78,94,6.16,overcast clouds
43,Jamestown,US,42.097,-79.2353,275.95,84,0,2.06,clear sky
44,Balatonszabadi,HU,46.894,18.1374,279.77,60,69,2.27,broken clouds
45,Mehamn,NO,71.0357,27.8492,277.1,70,0,7.2,clear sky
46,Ust-Maya,RU,60.4167,134.5333,277.35,61,100,3.05,overcast clouds
47,Mar Del Plata,AR,-38.0023,-57.5575,288.76,92,75,2.57,broken clouds
48,Leningradskiy,RU,69.3833,178.4167,263.92,91,95,7.27,overcast clouds
49,Port Blair,IN,11.6667,92.75,304.16,65,87,5.48,overcast clouds
50,Port Alfred,ZA,-33.5906,26.891,295.02,66,96,4.72,overcast clouds
51,Wonosobo,ID,-7.36,109.9025,297.78,82,92,0.57,overcast clouds
52,Iskateley,RU,67.6803,53.1512,270.42,88,88,8.17,overcast clouds
53,Nola,IT,40.922,14.5329,288.66,62,47,1.38,scattered clouds
54,Vaini,TO,-21.2,-175.2,297.24,94,75,6.17,light rain
55,Bonavista,CA,48.6499,-53.1147,273.52,90,61,7.32,broken clouds
56,Ruidoso,US,33.3317,-105.673,280.13,68,0,3.09,clear sky
57,Nhulunbuy,AU,-12.2333,136.7667,303.49,70,40,6.17,scattered clouds
58,Bac Lieu,VN,9.285,105.7244,306.12,52,89,9.08,overcast clouds
59,Samarai,PG,-10.6167,150.6667,301.27,76,36,3.22,scattered clouds
60,Kysyl-Syr,RU,63.8986,122.7617,275.5,98,73,5.08,broken clouds
61,Tuatapere,NZ,-46.1333,167.6833,283.55,89,5,0.54,clear sky
62,Cape Town,ZA,-33.9258,18.4232,288.21,96,75,6.69,moderate rain
63,Port Keats,AU,-14.25,129.55,306.73,45,71,0.76,broken clouds
64,Thohoyandou,ZA,-22.9456,30.485,293.77,75,0,1.15,clear sky
65,Severo-Kurilsk,RU,50.6789,156.125,274.31,80,100,11.45,overcast clouds
66,Hameenlinna,FI,60.996,24.4643,279.9,77,100,1.83,light rain
67,Port Macquarie,AU,-31.4333,152.9167,293.09,76,100,2.29,overcast clouds
68,Goalpara,IN,26.1667,90.6167,308.42,25,25,0.88,scattered clouds
69,Banda Aceh,ID,5.5577,95.3222,304.54,62,69,3.66,broken clouds
70,Cusuna,HN,15.85,-85.2333,296.28,83,48,4.48,scattered clouds
71,Mataura,NZ,-46.1927,168.8643,284.53,94,37,0.21,scattered clouds
72,Valparaiso,CL,-33.0393,-71.6273,288.71,67,100,1.03,mist
73,Jiaonan,CN,35.8786,119.9753,289.23,68,0,6.82,clear sky
74,Rosarito,MX,32.3333,-117.0333,288.85,82,29,3.16,scattered clouds
75,Dwarka,IN,22.2394,68.9678,301.53,61,100,4.12,overcast clouds
76,Ascension,US,30.2169,-90.9001,295.38,93,81,2.8,broken clouds
77,Lakhnadon,IN,22.6,79.6,305.8,26,84,3.76,broken clouds
78,Saint-Philippe,RE,-21.3585,55.7679,299.92,67,14,1.85,few clouds
79,Hithadhoo,MV,-0.6,73.0833,302.19,73,83,4.18,broken clouds
80,Carnarvon,AU,-24.8667,113.6333,298.06,40,9,7.51,clear sky
81,Pochutla,MX,15.7432,-96.4661,298.61,77,100,1.92,overcast clouds
82,Kavieng,PG,-2.5744,150.7967,302.17,73,38,2.14,light rain
83,Qaanaaq,GL,77.484,-69.3632,250.48,78,9,3.58,clear sky
84,Victoria,HK,22.2855,114.1577,299.8,76,100,5.36,overcast clouds
85,Pisco,PE,-13.7,-76.2167,294.27,78,14,1.03,smoke
86,Flin Flon,CA,54.7682,-101.865,273.37,98,100,3.2,overcast clouds
87,Olden,NO,61.8364,6.8064,277.56,97,100,2.41,overcast clouds
88,Semey,KZ,50.4111,80.2275,293.27,32,0,1.0,clear sky
89,Cabo San Lucas,MX,22.8909,-109.9124,295.16,82,3,6.23,clear sky
90,Faanui,PF,-16.4833,-151.75,301.13,76,15,3.47,few clouds
91,Beloha,MG,-25.1667,45.05,296.07,68,6,2.09,clear sky
92,Riyadh,SA,24.6877,46.7219,296.23,50,0,0.96,clear sky
93,Bambous Virieux,MU,-20.3428,57.7575,300.49,83,40,1.54,light rain
94,Mount Barker,AU,-35.0667,138.8667,294.76,64,1,6.62,clear sky
95,Oropoli,HN,13.8167,-86.8167,298.56,74,87,1.33,light rain
96,Teknaf,BD,20.8624,92.3058,306.31,50,20,5.53,few clouds
97,Bakchar,RU,57.0186,82.0711,280.81,88,100,2.78,overcast clouds
98,Hermanus,ZA,-34.4187,19.2345,289.73,77,21,8.45,light rain
99,Mizan Teferi,ET,6.9833,35.5833,293.43,89,87,0.23,light rain
100,Carhuamayo,PE,-10.9167,-76.0333,272.48,94,51,0.14,broken clouds
101,Kruisfontein,ZA,-34.0033,24.7314,290.22,86,100,3.42,overcast clouds
102,Ponta Do Sol,PT,32.6667,-17.1,294.66,46,55,0.55,broken clouds
103,Longyearbyen,SJ,78.2186,15.6401,273.06,59,0,1.54,clear sky
104,Ginda,IN,30.6945,78.4932,294.18,34,100,1.96,overcast clouds
105,Dali,CN,25.7,100.1833,299.05,24,26,4.84,scattered clouds
106,Zvishavane,ZW,-20.3267,30.0665,292.26,70,18,1.07,few clouds
107,Hilo,US,19.7297,-155.09,298.31,82,100,1.54,overcast clouds
108,Saurimo,AO,-9.6608,20.3916,292.47,77,68,1.88,broken clouds
109,Dingle,PH,10.9995,122.6711,305.06,56,100,5.8,overcast clouds
110,Meulaboh,ID,4.1363,96.1285,303.53,65,69,2.96,broken clouds
111,Ayan,RU,56.45,138.1667,272.36,96,100,12.47,snow
112,Kapaa,US,22.0752,-159.319,298.14,80,100,4.63,overcast clouds
113,Yellowknife,CA,62.456,-114.3525,273.44,100,100,2.57,mist
114,Erzin,TR,36.9559,36.2,290.55,65,78,1.39,broken clouds
115,Hirara,JP,24.8,125.2833,297.07,83,75,6.17,broken clouds
116,Iqaluit,CA,63.7506,-68.5145,272.0,92,75,2.06,broken clouds
117,Morgan Hill,US,37.1305,-121.6544,292.69,65,0,1.54,clear sky
118,San Jose,US,37.3394,-121.895,293.23,55,0,8.49,clear sky
119,Conceicao Do Almeida,BR,-12.7794,-39.17,294.6,90,44,1.68,scattered clouds
120,Manokwari,ID,-0.8667,134.0833,302.12,69,71,3.34,broken clouds
121,Banjar,ID,-8.19,114.9675,302.28,82,80,0.44,broken clouds
122,Constitucion,CL,-35.3333,-72.4167,286.39,76,100,1.2,overcast clouds
123,Bambanglipuro,ID,-7.95,110.2833,302.01,78,97,5.04,overcast clouds
124,Clyde River,CA,70.4692,-68.5914,262.28,92,100,2.57,overcast clouds
125,Nome,US,64.5011,-165.4064,272.19,69,0,3.09,clear sky
126,Tazmalt,DZ,36.3868,4.3989,293.91,42,14,0.44,few clouds
127,Tiksi,RU,71.6872,128.8694,268.36,82,40,1.14,scattered clouds
128,Liverpool,GB,53.4106,-2.9779,281.36,82,0,4.63,clear sky
129,Qaqortoq,GL,60.7167,-46.0333,273.19,98,99,1.16,light snow
130,Touros,BR,-5.1989,-35.4608,298.08,89,100,3.31,overcast clouds
131,Kodiak,US,57.79,-152.4072,275.88,87,100,3.09,light rain
132,Vao,NC,-22.6667,167.4833,295.71,88,98,19.35,overcast clouds
133,Sao Filipe,CV,14.8961,-24.4956,295.96,75,9,0.92,clear sky
134,Georgetown,MY,5.4112,100.3354,305.12,66,20,3.6,few clouds
135,Norman Wells,CA,65.282,-126.8329,271.17,54,75,4.63,broken clouds
136,Bluff,NZ,-46.6,168.3333,284.71,80,18,3.31,few clouds
137,Barrow,US,71.2906,-156.7887,255.16,78,100,3.09,overcast clouds
138,Maniitsoq,GL,65.4167,-52.9,273.11,80,17,3.01,few clouds
139,Trincomalee,LK,8.5711,81.2335,302.56,72,55,4.88,broken clouds
140,Caravelas,BR,-17.7125,-39.2481,295.12,95,2,1.31,clear sky
141,Salalah,OM,17.0151,54.0924,304.2,66,0,2.57,clear sky
142,Puerto Ayora,EC,-0.7393,-90.3518,297.34,96,29,1.34,scattered clouds
143,Thompson,CA,55.7435,-97.8558,275.24,60,0,4.12,clear sky
144,Chunskiy,RU,56.0815,99.6342,278.28,42,97,5.43,overcast clouds
145,New Norfolk,AU,-42.7826,147.0587,291.87,76,100,2.26,light rain
146,Padang,ID,-0.9492,100.3543,303.18,81,91,1.68,overcast clouds
147,Chilca,PE,-12.5211,-76.7372,295.03,86,18,3.0,few clouds
148,Kattivakkam,IN,13.2167,80.3167,307.2,75,53,4.44,broken clouds
149,Onoda,JP,34.0014,131.1836,296.09,63,0,4.63,clear sky
150,Dakar,SN,14.6937,-17.4441,293.64,100,20,5.14,few clouds
151,Port-Gentil,GA,-0.7193,8.7815,300.13,94,40,1.54,thunderstorm
152,Kasongo-Lunda,CD,-6.4667,16.8167,295.44,95,100,0.44,overcast clouds
153,Shimoda,JP,34.6667,138.95,294.35,57,20,4.79,few clouds
154,Matara,LK,5.9485,80.5353,303.83,64,100,4.51,overcast clouds
155,Hobart,AU,-42.8794,147.3294,291.51,74,100,3.62,overcast clouds
156,Wanning,CN,18.8003,110.3967,301.16,68,75,4.01,broken clouds
157,Bad Wurzach,DE,47.9,9.9,281.86,73,98,0.79,overcast clouds
158,Porto Santo,PT,33.072,-16.3415,291.36,88,20,4.63,few clouds
159,Bengkulu,ID,-3.8004,102.2655,301.59,70,100,1.92,overcast clouds
160,Prince Rupert,CA,54.3161,-130.3201,279.98,92,75,3.09,broken clouds
161,Batticaloa,LK,7.7102,81.6924,303.18,69,64,3.96,broken clouds
162,Kisangani,CD,0.5167,25.2,295.51,88,100,0.14,overcast clouds
163,Krasnoyarskiy,RU,51.965,59.8967,291.77,28,87,7.56,overcast clouds
164,Chowchilla,US,37.123,-120.2602,294.97,55,9,1.62,clear sky
165,Klaksvik,FO,62.2266,-6.589,273.66,99,100,5.41,snow
166,Kaliganj,BD,23.4095,89.1402,309.39,29,36,1.97,scattered clouds
167,Portland,US,45.5234,-122.6762,292.14,67,40,4.63,scattered clouds
168,Svetlogorsk,BY,52.6333,29.7333,277.97,92,100,5.03,overcast clouds
169,Araouane,ML,18.9048,-3.5265,297.43,15,0,4.48,clear sky
170,Marystown,CA,47.1666,-55.1483,273.91,90,17,3.1,few clouds
171,Namibe,AO,-15.1961,12.1522,298.35,60,100,4.16,overcast clouds
172,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,294.78,99,90,0.81,overcast clouds
173,Morant Bay,JM,17.8815,-76.4093,299.94,81,58,1.93,broken clouds
174,Agirish,RU,61.9247,63.0231,276.26,100,99,1.87,overcast clouds
175,Cayenne,GF,4.9333,-52.3333,296.17,100,100,1.03,mist
176,Marawi,PH,7.9986,124.2928,300.03,72,97,3.04,overcast clouds
177,Mitsamiouli,KM,-11.3847,43.2844,301.18,70,36,4.12,scattered clouds
178,Bani Walid,LY,31.7566,13.9942,292.63,45,0,0.59,clear sky
179,Cherskiy,RU,68.75,161.3,266.96,90,80,2.82,broken clouds
180,San Vicente,AR,-26.6167,-54.1333,287.84,89,48,0.52,scattered clouds
181,Ancud,CL,-41.8697,-73.8203,280.88,94,99,2.48,overcast clouds
182,Nikolskoye,RU,59.7035,30.7861,285.25,67,28,0.24,scattered clouds
183,Komatipoort,ZA,-25.4332,31.9548,295.9,76,4,3.01,clear sky
184,Paka,MY,4.6374,103.4368,304.11,74,40,1.03,scattered clouds
185,Jumla,NP,29.2747,82.1838,291.37,30,100,2.61,overcast clouds
186,Savannah Bight,HN,16.45,-85.85,299.86,82,76,12.43,broken clouds
187,Cairns,AU,-16.9167,145.7667,301.12,73,75,7.72,broken clouds
188,Evensk,RU,61.95,159.2333,272.78,81,3,0.37,clear sky
189,Nemuro,JP,43.3236,145.575,280.89,54,6,8.85,clear sky
190,San Patricio,US,28.017,-97.5169,297.53,93,96,3.91,overcast clouds
191,Novikovo,RU,51.1537,37.8879,288.46,57,86,3.93,overcast clouds
192,Esperance,AU,-33.8667,121.9,289.08,57,86,10.41,overcast clouds
193,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,295.78,96,91,0.3,overcast clouds
194,Lompoc,US,34.6391,-120.4579,285.23,96,100,3.6,fog
195,Roald,NO,62.5833,6.1333,278.57,87,75,7.72,broken clouds
196,Prestea,GH,5.4327,-2.1428,297.19,94,100,1.13,overcast clouds
197,Gostilitsy,RU,59.7483,29.622,281.48,73,88,1.85,overcast clouds
198,Saint George,US,37.1041,-113.5841,294.48,24,0,3.09,clear sky
199,Novoagansk,RU,61.9449,76.6625,273.9,100,100,2.56,snow
200,Saint-Augustin,CA,51.226,-58.6502,275.6,76,75,1.09,broken clouds
201,Anadyr,RU,64.75,177.4833,266.43,79,0,5.0,clear sky
202,Vigia Del Fuerte,CO,6.5789,-76.8863,296.41,99,99,0.56,overcast clouds
203,Te Anau,NZ,-45.4167,167.7167,282.35,79,1,0.14,clear sky
204,Chiredzi,ZW,-21.05,31.6667,294.22,76,2,2.23,clear sky
205,Avarua,CK,-21.2078,-159.775,297.18,88,100,3.09,light rain
206,Ambon,ID,-3.6954,128.1814,305.23,80,40,3.6,scattered clouds
207,San Cristobal,VE,7.7669,-72.225,294.25,95,25,0.82,scattered clouds
208,Yeniseysk,RU,58.4497,92.1703,277.41,59,96,3.05,overcast clouds
209,Quang Ngai,VN,15.1167,108.8,304.35,56,46,3.87,scattered clouds
210,Ostrovnoy,RU,68.0531,39.5131,274.23,85,100,4.29,overcast clouds
211,Sorland,NO,67.667,12.6934,275.07,98,100,2.75,light rain
212,Lithakia,GR,37.7167,20.8333,286.8,88,20,1.54,few clouds
213,Kasongo,CD,-4.45,26.6667,295.02,93,100,1.04,overcast clouds
214,Taywarah,AF,33.35,64.4167,287.82,20,0,1.45,clear sky
215,Souillac,MU,-20.5167,57.5167,299.36,83,40,1.54,scattered clouds
216,Sayaxche,GT,16.5167,-90.1667,298.11,79,90,1.65,overcast clouds
217,Xuanwu,CN,32.069,118.8138,298.12,40,35,3.06,scattered clouds
218,Aragarcas,BR,-15.8975,-52.2508,296.01,76,92,1.22,overcast clouds
219,Pangnirtung,CA,66.1451,-65.7125,270.18,86,98,1.5,overcast clouds
220,Ahipara,NZ,-35.1667,173.1667,288.78,73,92,2.33,overcast clouds
221,Coquimbo,CL,-29.9533,-71.3436,287.0,100,100,2.57,overcast clouds
222,Hit,IQ,33.6416,42.8251,299.88,24,94,1.66,overcast clouds
223,Englehart,CA,47.8169,-79.8664,273.46,93,100,1.03,overcast clouds
224,Berdigestyakh,RU,62.0989,126.6992,274.33,93,87,3.1,overcast clouds
225,Itanhem,BR,-17.1664,-40.33,293.33,94,1,1.04,clear sky
226,Hambantota,LK,6.1241,81.1185,301.34,94,100,2.06,overcast clouds
227,Krasnoselkup,RU,65.7,82.4667,271.15,80,88,2.53,overcast clouds
228,Clarence Town,AU,-32.5833,151.7833,297.1,54,22,2.23,few clouds
229,San Rafael,AR,-34.6177,-68.3301,288.75,42,88,1.85,overcast clouds
230,Palasa,IN,18.7667,84.4167,307.55,43,24,4.46,few clouds
231,Vardo,NO,70.3705,31.1107,276.14,75,75,9.26,broken clouds
232,Porto Walter,BR,-8.2686,-72.7439,294.84,98,53,0.96,broken clouds
